Course,URL,University
Military Affairs (MIL AFF),http://guide.berkeley.edu/courses/mil_aff/,"University of California, Berkeley"
Military Science (MIL SCI),http://guide.berkeley.edu/courses/mil_sci/,"University of California, Berkeley"
Molecular and Cell Biology (MCELLBI),http://guide.berkeley.edu/courses/mcellbi/,"University of California, Berkeley"
Mongolian (MONGOLN),http://guide.berkeley.edu/courses/mongoln/,"University of California, Berkeley"
Music (MUSIC),http://guide.berkeley.edu/courses/music/,"University of California, Berkeley"
Nanoscale Science and Engineering (NSE),http://guide.berkeley.edu/courses/nse/,"University of California, Berkeley"
Native American Studies (NATAMST),http://guide.berkeley.edu/courses/natamst/,"University of California, Berkeley"
Natural Resources (NAT RES),http://guide.berkeley.edu/courses/nat_res/,"University of California, Berkeley"
Naval Science (NAV SCI),http://guide.berkeley.edu/courses/nav_sci/,"University of California, Berkeley"
Near Eastern Studies (NE STUD),http://guide.berkeley.edu/courses/ne_stud/,"University of California, Berkeley"
Neuroscience (NEUROSC),http://guide.berkeley.edu/courses/neurosc/,"University of California, Berkeley"
New Media (NWMEDIA),http://guide.berkeley.edu/courses/nwmedia/,"University of California, Berkeley"
Norwegian (NORWEGN),http://guide.berkeley.edu/courses/norwegn/,"University of California, Berkeley"
Nuclear Engineering (NUC ENG),http://guide.berkeley.edu/courses/nuc_eng/,"University of California, Berkeley"
Nutritional Sciences and Toxicology (NUSCTX),http://guide.berkeley.edu/courses/nusctx/,"University of California, Berkeley"
Optometry (OPTOM),http://guide.berkeley.edu/courses/optom/,"University of California, Berkeley"
Peace and Conflict Studies (PACS),http://guide.berkeley.edu/courses/pacs/,"University of California, Berkeley"
Persian (PERSIAN),http://guide.berkeley.edu/courses/persian/,"University of California, Berkeley"
Philosophy (PHILOS),http://guide.berkeley.edu/courses/philos/,"University of California, Berkeley"
Physical Education (PHYS ED),http://guide.berkeley.edu/courses/phys_ed/,"University of California, Berkeley"
Physics (PHYSICS),http://guide.berkeley.edu/courses/physics/,"University of California, Berkeley"
Plant and Microbial Biology (PLANTBI),http://guide.berkeley.edu/courses/plantbi/,"University of California, Berkeley"
Polish (POLISH),http://guide.berkeley.edu/courses/polish/,"University of California, Berkeley"
Political Economy (POLECON),http://guide.berkeley.edu/courses/polecon/,"University of California, Berkeley"
Political Science (POL SCI),http://guide.berkeley.edu/courses/pol_sci/,"University of California, Berkeley"
Portuguese (PORTUG),http://guide.berkeley.edu/courses/portug/,"University of California, Berkeley"
Psychology (PSYCH),http://guide.berkeley.edu/courses/psych/,"University of California, Berkeley"
Public Affairs (PUB AFF),http://guide.berkeley.edu/courses/pubaff/,"University of California, Berkeley"
Public Health (PB HLTH),http://guide.berkeley.edu/courses/pb_hlth/,"University of California, Berkeley"
Public Policy (PUB POL),http://guide.berkeley.edu/courses/pub_pol/,"University of California, Berkeley"
Punjabi (PUNJABI),http://guide.berkeley.edu/courses/punjabi/,"University of California, Berkeley"
Real Estate Development and Design (RDEV),http://guide.berkeley.edu/courses/rdev/,"University of California, Berkeley"
Rhetoric (RHETOR),http://guide.berkeley.edu/courses/rhetor/,"University of California, Berkeley"
Russian (RUSSIAN),http://guide.berkeley.edu/courses/russian/,"University of California, Berkeley"
Sanskrit (SANSKR),http://guide.berkeley.edu/courses/sanskr/,"University of California, Berkeley"
Scandinavian (SCANDIN),http://guide.berkeley.edu/courses/scandin/,"University of California, Berkeley"
Science and Mathematics Education (SCMATHE),http://guide.berkeley.edu/courses/scmathe/,"University of California, Berkeley"
Science and Technology Studies (STS),http://guide.berkeley.edu/courses/sts/,"University of California, Berkeley"
Semitics (SEMITIC),http://guide.berkeley.edu/courses/semitic/,"University of California, Berkeley"
Slavic Languages and Literatures (SLAVIC),http://guide.berkeley.edu/courses/slavic/,"University of California, Berkeley"
Social Welfare (SOC WEL),http://guide.berkeley.edu/courses/soc_wel/,"University of California, Berkeley"
Sociology (SOCIOL),http://guide.berkeley.edu/courses/sociol/,"University of California, Berkeley"
South and Southeast Asian Studies (SSEASN),http://guide.berkeley.edu/courses/sseasn/,"University of California, Berkeley"
South Asian Studies (SASIAN),http://guide.berkeley.edu/courses/sasian/,"University of California, Berkeley"
Southeast Asian (SEASIAN),http://guide.berkeley.edu/courses/seasian/,"University of California, Berkeley"
Spanish (SPANISH),http://guide.berkeley.edu/courses/spanish/,"University of California, Berkeley"
Special Education (EDUCSPE),http://guide.berkeley.edu/courses/educspe/,"University of California, Berkeley"
Statistics (STAT),http://guide.berkeley.edu/courses/stat/,"University of California, Berkeley"
Swedish (SWEDISH),http://guide.berkeley.edu/courses/swedish/,"University of California, Berkeley"
Tamil (TAMIL),http://guide.berkeley.edu/courses/tamil/,"University of California, Berkeley"
Telugu (TELUGU),http://guide.berkeley.edu/courses/telugu/,"University of California, Berkeley"
Thai (THAI),http://guide.berkeley.edu/courses/thai/,"University of California, Berkeley"
"Theater, Dance, and Performance Studies (THEATER)",http://guide.berkeley.edu/courses/theater/,"University of California, Berkeley"
Tibetan (TIBETAN),http://guide.berkeley.edu/courses/tibetan/,"University of California, Berkeley"
Turkish (TURKISH),http://guide.berkeley.edu/courses/turkish/,"University of California, Berkeley"
Undergraduate Interdisciplinary Studies (UGIS),http://guide.berkeley.edu/courses/ugis/,"University of California, Berkeley"
Urdu (URDU),http://guide.berkeley.edu/courses/urdu/,"University of California, Berkeley"
Vietnamese (VIETNMS),http://guide.berkeley.edu/courses/vietnms/,"University of California, Berkeley"
Vision Science (VIS SCI),http://guide.berkeley.edu/courses/vis_sci/,"University of California, Berkeley"
Visual Studies (VIS STD),http://guide.berkeley.edu/courses/vis_std/,"University of California, Berkeley"
Yiddish (YIDDISH),http://guide.berkeley.edu/courses/yiddish/,"University of California, Berkeley"
