Course,University,URL
Neurobiology (NBIO),University of Washington,http://www.washington.edu/students/crscat/nbio.html
Ethics (ETHICS),University of Washington,http://www.washington.edu/students/crscat/ethics.html
Philosophy (PHIL),University of Washington,http://www.washington.edu/students/crscat/phil.html
Values in Society (VALUES),University of Washington,http://www.washington.edu/students/crscat/values.html
Physics (PHYS),University of Washington,http://www.washington.edu/students/crscat/phys.html
Political Science (POL S),University of Washington,http://www.washington.edu/students/crscat/polisci.html
Applied Child and Adolescent Psychology (PSYCAP),University of Washington,http://www.washington.edu/students/crscat/psycap.html
Clinical Psychology (PSYCLN),University of Washington,http://www.washington.edu/students/crscat/psycln.html
Psychology (PSYCH),University of Washington,http://www.washington.edu/students/crscat/psych.html
Danish (DANISH),University of Washington,http://www.washington.edu/students/crscat/danish.html
Estonian (ESTO),University of Washington,http://www.washington.edu/students/crscat/eston.html
Finnish (FINN),University of Washington,http://www.washington.edu/students/crscat/finnish.html
Latvian (LATV),University of Washington,http://www.washington.edu/students/crscat/latvian.html
Lithuanian (LITH),University of Washington,http://www.washington.edu/students/crscat/lith.html
Norwegian (NORW),University of Washington,http://www.washington.edu/students/crscat/norweg.html
Scandinavian (SCAND),University of Washington,http://www.washington.edu/students/crscat/scand.html
Swedish (SWED),University of Washington,http://www.washington.edu/students/crscat/swedish.html
Bosnian/Croatian/Montenegrin/Serbian (BCMS),University of Washington,http://www.washington.edu/students/crscat/bcms.html
Bulgarian (BULGR),University of Washington,http://www.washington.edu/students/crscat/bulgar.html
Czech (CZECH),University of Washington,http://www.washington.edu/students/crscat/czech.html
Polish (POLSH),University of Washington,http://www.washington.edu/students/crscat/polish.html
Russian (RUSS),University of Washington,http://www.washington.edu/students/crscat/russian.html
Slavic Languages and Literatures (SLAVIC),University of Washington,http://www.washington.edu/students/crscat/slavic.html
Slovenian (SLVN),University of Washington,http://www.washington.edu/students/crscat/slvn.html
Ukrainian (UKR),University of Washington,http://www.washington.edu/students/crscat/ukrain.html
Sociology (SOC),University of Washington,http://www.washington.edu/students/crscat/soc.html
Portuguese (PORT),University of Washington,http://www.washington.edu/students/crscat/port.html
Spanish (SPAN),University of Washington,http://www.washington.edu/students/crscat/spanish.html
Spanish Linguistics (SPLING),University of Washington,http://www.washington.edu/students/crscat/spanlin.html
Speech and Hearing Sciences (SPHSC),University of Washington,http://www.washington.edu/students/crscat/sphsc.html
Statistics (STAT),University of Washington,http://www.washington.edu/students/crscat/stat.html
"Women Studies (WOMEN) -- See Gender, Women, and Sexuality Studies (GWSS)",University of Washington,http://www.washington.edu/students/crscat/gwss.html
Zoology -- See Biology (BIOL),University of Washington,http://www.washington.edu/students/crscat/biology.html
Architecture (ARCH),University of Washington,http://www.washington.edu/students/crscat/archit.html
Built Environment (B E),University of Washington,http://www.washington.edu/students/crscat/be.html
Construction Management (CM),University of Washington,http://www.washington.edu/students/crscat/constmgmt.html
Landscape Architecture (L ARCH),University of Washington,http://www.washington.edu/students/crscat/landscape.html
Real Estate (R E),University of Washington,http://www.washington.edu/students/crscat/re.html
"Community, Environment, and Planning (CEP)",University of Washington,http://www.washington.edu/students/crscat/commenv.html
Infrastructure Planning and Management (IPM),University of Washington,http://www.washington.edu/students/crscat/ipm.html
Strategic Planning for Critical Infrastructures (SPCI),University of Washington,http://www.washington.edu/students/crscat/spci.html
Urban Planning (URBDP),University of Washington,http://www.washington.edu/students/crscat/urbdes.html
Accounting (ACCTG),University of Washington,http://www.washington.edu/students/crscat/acctg.html
Administration (ADMIN),University of Washington,http://www.washington.edu/students/crscat/admin.html
Business Administration (B A),University of Washington,http://www.washington.edu/students/crscat/ba.html
Business Administration Research Methods (BA RM),University of Washington,http://www.washington.edu/students/crscat/barm.html
Business Communications (B CMU),University of Washington,http://www.washington.edu/students/crscat/buscomm.html
Business Economics (B ECON),University of Washington,http://www.washington.edu/students/crscat/busecon.html
Entrepreneurship (ENTRE),University of Washington,http://www.washington.edu/students/crscat/entre.html
Finance (FIN),University of Washington,http://www.washington.edu/students/crscat/finance.html
Information Systems (I S),University of Washington,http://www.washington.edu/students/crscat/infosys.html
Information Systems Master of Science (MSIS),University of Washington,http://www.washington.edu/students/crscat/msis.html
International Business (I BUS),University of Washington,http://www.washington.edu/students/crscat/intlbus.html
Management (MGMT),University of Washington,http://www.washington.edu/students/crscat/mgmt.html
Marketing (MKTG),University of Washington,http://www.washington.edu/students/crscat/mktg.html
Operations Management (OPMGT),University of Washington,http://www.washington.edu/students/crscat/opmgmt.html
Quantitative Methods (QMETH),University of Washington,http://www.washington.edu/students/crscat/qmeth.html
Supply Chain Management (SCM),University of Washington,http://www.washington.edu/students/crscat/scm.html
Dental Clinical (DENTCL),University of Washington,http://www.washington.edu/students/crscat/dentcl.html
Dental Electives (DENTEL),University of Washington,http://www.washington.edu/students/crscat/dentel.html
Dental Foundations (DENTFN),University of Washington,http://www.washington.edu/students/crscat/dentfn.html
Dental General Practice (DENTGP),University of Washington,http://www.washington.edu/students/crscat/dentgp.html
Dental Hygiene (D HYG),University of Washington,http://www.washington.edu/students/crscat/denthy.html
Dental Pre-Clinical (DENTPC),University of Washington,http://www.washington.edu/students/crscat/dentpc.html
Dental Public Health Sciences (DPHS),University of Washington,http://www.washington.edu/students/crscat/dphs.html
Dental Selectives (DENTSL),University of Washington,http://www.washington.edu/students/crscat/dentsl.html
Dentistry (DENT),University of Washington,http://www.washington.edu/students/crscat/dent.html
Oral Surgery (O S),University of Washington,http://www.washington.edu/students/crscat/os.html
Pedodontics (PEDO),University of Washington,http://www.washington.edu/students/crscat/pedodon.html
Endodontics (ENDO),University of Washington,http://www.washington.edu/students/crscat/endo.html
Oral Biology (ORALB),University of Washington,http://www.washington.edu/students/crscat/oralbio.html
Oral Health Sciences (OHS),University of Washington,http://www.washington.edu/students/crscat/ohs.html
Oral Medicine (ORALM),University of Washington,http://www.washington.edu/students/crscat/oralm.html
Orthodontics (ORTHO),University of Washington,http://www.washington.edu/students/crscat/orthod.html
Periodontics (PERIO),University of Washington,http://www.washington.edu/students/crscat/perio.html
Prosthodontics (PROS),University of Washington,http://www.washington.edu/students/crscat/pros.html
Restorative Dentistry (RES D),University of Washington,http://www.washington.edu/students/crscat/restor.html
Curriculum and Instruction (EDC&I),University of Washington,http://www.washington.edu/students/crscat/edci.html
College of Education (EDUC),University of Washington,http://www.washington.edu/students/crscat/indsrf.html
Early Childhood and Family Studies (ECFS),University of Washington,http://www.washington.edu/students/crscat/ecfs.html
Education (Teacher Education Program) (EDTEP),University of Washington,http://www.washington.edu/students/crscat/teached.html
Educational Leadership and Policy Studies (EDLPS),University of Washington,http://www.washington.edu/students/crscat/edlp.html
Educational Psychology (EDPSY),University of Washington,http://www.washington.edu/students/crscat/edpsy.html
Special Education (EDSPE),University of Washington,http://www.washington.edu/students/crscat/sped.html
Aeronautics and Astronautics (A A),University of Washington,http://www.washington.edu/students/crscat/aa.html
Aerospace Engineering (A E),University of Washington,http://www.washington.edu/students/crscat/ae.html
Chemical Engineering (CHEM E),University of Washington,http://www.washington.edu/students/crscat/cheng.html
Nanoscience and Molecular Engineering (NME),University of Washington,http://www.washington.edu/students/crscat/nme.html
Civil and Environmental Engineering (CEE),University of Washington,http://www.washington.edu/students/crscat/cee.html
"Construction, Energy, and Sustainable Infrastructure (CESI)",University of Washington,http://www.washington.edu/students/crscat/cesi.html
Environmental Engineering (CEWA),University of Washington,http://www.washington.edu/students/crscat/cewa.html
Structural and Geotechnical Engineering and Mechanics (CESG),University of Washington,http://www.washington.edu/students/crscat/cesg.html
Transportation Engineering (CET),University of Washington,http://www.washington.edu/students/crscat/cet.html
Computer Science and Engineering (CSE),University of Washington,http://www.washington.edu/students/crscat/cse.html
Computer Science and Engineering -- Accelerated Masters Program (CSE M),University of Washington,http://www.washington.edu/students/crscat/csem.html
Computer Science and Engineering -- Data Science (CSE D),University of Washington,http://www.washington.edu/students/crscat/csed.html
Computer Science and Engineering -- Professional Masters Program (CSE P),University of Washington,http://www.washington.edu/students/crscat/csep.html
Electrical Engineering (E E),University of Washington,http://www.washington.edu/students/crscat/ee.html
Engineering (ENGR),University of Washington,http://www.washington.edu/students/crscat/engr.html
Human Centered Design and Engineering (HCDE),University of Washington,http://www.washington.edu/students/crscat/hcde.html
Industrial Engineering (IND E),University of Washington,http://www.washington.edu/students/crscat/inde.html
Materials Science and Engineering (MSE),University of Washington,http://www.washington.edu/students/crscat/mse.html
Mechanical Engineering (M E),University of Washington,http://www.washington.edu/students/crscat/meche.html
Aquatic and Fishery Sciences (FISH),University of Washington,http://www.washington.edu/students/crscat/fish.html
Atmospheric Sciences (ATM S),University of Washington,http://www.washington.edu/students/crscat/atmos.html
College of the Environment (C ENV),University of Washington,http://www.washington.edu/students/crscat/cenv.html
Science Teaching (SCI T),University of Washington,http://www.washington.edu/students/crscat/scit.html
Earth and Space Sciences (ESS),University of Washington,http://www.washington.edu/students/crscat/ess.html
