#Rank,University,Town
820,Indira Gandhi Technological and Medical Sciences University,Ziro
821,Jharkhand Raksha Shakti University,Ranchi
822,Starex University,Gurgaon
823,Kumar Bhaskar Varma Sanskrit and Ancient Studies University,Nalbari
824,ISBM University,Gariyaband
825,Sankalchand Patel University,Visnagar
826,"Maharishi Arvind University, Jaipur",Mundiya Purohitan
827,Sant Baba Bhag Singh University,Jalandhar
828,Sanjay Ghodawat University,Kolhapur
829,Himalayan Garhwal University,Pokhara Village
830,TeamLease Skills University,Tarsali
831,JSS Science and Technology University,Mysore
832,Bhupal Nobles University,Udaipur
833,Motherhood University,Bhagwanpur
834,Plastindia International University,Vapi
835,Sarla Birla University,Ranchi
836,Usha Martin University,Ranchi
837,KSGH Music and Performing Arts University,Mysore
838,Abhilashi University,Chailchowk
839,Indrashil University,Dholera
840,Haridev Joshi University of Journalism and Mass Communication,Jaipur
841,Indian Institute of Public Health,Gandhinagar
842,LNCT University,Bhopal
843,Vishwakarma University,Pune
844,Swarnim Startup and Innovation University,Gandhinagar
845,"William Carey University, Meghalaya",Shillong
846,Tamil Nadu Music and Fine Arts University,Chennai
847,Ras Bihari Bose Subharti University,Dehradun
848,Malwanchal University,Indore
849,Lakulish Yoga University,Ahmedabad
850,Gujarat University of Transplantation Sciences,Ahmedabad
851,Sangai International University,Churachandpur
852,"Maulana Azad University, Jodhpur",Jodhpur
853,G H Raisoni University,Saikheda
854,Arunodaya University,Itanagar
855,"Indian Institute of Information Technology, Lucknow",Allahabad
856,Arka Jain University,Gamharia
857,P.K. University,Village Thanara
858,Maharaja Bir Bikram University,Agartala
859,K.K. University,Biharsharif
860,Karnataka State Rural Development and Panchayat Raj University,Gadag
862,Bareilly International University,Bareilly
863,Pragyan International University,Ranchi
864,Bengaluru North University,Kolar
865,Sri Guru Ram Das University of Health Sciences,Qila Jiwan Singh
866,Pacific Medical University,Udaipur
867,Shri Guru Ram Rai Education Mission,Dehradun ...
868,Rajiv Gandhi National Aviation University,Raebareli
869,Uttarakhand Aawasiya Vishwavidyalaya,Almora
870,Manipur University of Culture,Imphal
871,"Maharashtra National Law University, Aurangabad",Aurangabad
872,Sharnbasva University,Gulbarga
873,YBN University,Ranchi
874,Sai Tirupati University,Udaipur
875,St. Joseph University,Dimapur
876,Khalsa University,Amritsar
Un,"Sandip University, Sijoul",Sijoul
Un,Manav Rachna University,Faridabad
Un,Manav Rachna International Institute of Research and Studies,Faridabad
Un,Dr. Sarvepalli Radhakrishnan Rajasthan Ayurved University,Jodhpur
