Course,University,URL
Human Resource Development (HRD),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/hrd/
Human Resource Education (HRE),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/hre/
I-Health (IHLT),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/ihlt/
Industrial Engineering (IE),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/ie/
Informatics (INFO),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/info/
Information Sciences (IS),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/is/
Integrative Biology (IB),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/ib/
Italian (ITAL),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/ital/
Japanese (JAPN),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/japn/
Jewish Studies (JS),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/js/
Journalism (JOUR),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/jour/
Kinesiology (KIN),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/kin/
Korean (KOR),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/kor/
Labor and Employment Relations (LER),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/ler/
Landscape Architecture (LA),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/la/
Latina/Latino Studies (LLS),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/lls/
Latin American & Caribbean St (LAST),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/last/
Latin (LAT),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/lat/
Law (LAW),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/law/
Liberal Arts and Sciences (LAS),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/las/
Library & Information Science (LIS) -- Changed to Information Sciences (IS),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/lis/
Lingala (LGLA),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/lgla/
Linguistics (LING),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/ling/
LiteraturesCulturesLinguistics (SLCL),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/slcl/
Materials Science & Engr (MSE),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/mse/
Mathematics (MATH),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/math/
MBA Program (MBA),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/mba/
Mechanical Engineering (ME),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/me/
Media and Cinema Studies (MACS),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/macs/
Media (MDIA),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/mdia/
Medical Scholars Program (MSP),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/msp/
Medieval Studies (MDVL),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/mdvl/
Microbiology (MICR),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/micr/
Military Science (MILS),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/mils/
Modern Greek (GRKM),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/grkm/
Molecular and Cell Biology (MCB),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/mcb/
Moleculr & Integrative Physiol (MIP),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/mip/
Museum Studies (MUSE),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/muse/
Music (MUS),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/mus/
Natural Resources & Environ Sc (NRES),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/nres/
Naval Science (NS),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/ns/
Neuroscience (NEUR),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/neur/
"Nuclear, Plasma, Radiolg Engr (NPRE)",University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/npre/
Nutritional Sciences (NUTR),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/nutr/
Pathobiology (PATH),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/path/
Persian (PERS),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/pers/
Philosophy (PHIL),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/phil/
Physics (PHYS),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/phys/
Plant Biology (PBIO),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/pbio/
Plant Pathology (PLPA),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/plpa/
Polish (POL),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/pol/
Political Science (PS),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/ps/
Portuguese (PORT),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/port/
Professional Science Master (PSM),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/psm/
Psychology (PSYC),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/psyc/
"Recreation, Sport, and Tourism (RST)",University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/rst/
Rehabilitation Counseling (REHB),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/rehb/
Religion (REL),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/REL/
Religious Studies (RLST) -- Changed to Religion (REL),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/rlst/
Rhetoric and Composition (RHET),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/rhet/
Romance Linguistics (RMLG),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/rmlg/
Rural Sociology (RSOC),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/rsoc/
"Russian, East European and Eurasian Studies (REES)",University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/rees/
Russian (RUSS),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/russ/
Sanskrit (SNSK),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/snsk/
S. Asian & Middle Eastern (SAME),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/same/
Scandinavian (SCAN),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/scan/
Second Language Studies (SLS),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/sls/
